Co_Ref,Contact_ID,Call_Date,Direction,cc_business_struggles_financial_hardship,cc_dissatisfaction_support,cc_contractor_sentiment,cc_contractor_sentiment_issues_score,cc_pricing_sentiment_impact,cc_refund_discussed,cc_contractor_complained,Analysed_Call
XX5395,594136000000.0,2025-01-14,IN_BOUND,No,No,Neutral,60,No,No,Yes,1
JA4395,596486000000.0,2025-02-20,IN_BOUND,No,Yes,Neutral,60,No,No,Yes,1
NB7717,691479000000.0,2026-01-05,IN_BOUND,No,No,Neutral,60,No,No,Yes,1
VU9662,681422000000.0,2025-08-27,IN_BOUND,No,No,Neutral,60,No,No,Yes,1
RN6217,686970000000.0,2025-11-07,IN_BOUND,No,Yes,Neutral,80,No,No,Yes,1
TF3894,596778000000.0,2025-02-25,IN_BOUND,No,No,Neutral,80,No,No,Yes,1
VY0691,595126000000.0,2025-01-30,IN_BOUND,Yes,Yes,Satisfied,80,No,No,Yes,1
GO1796,590249000000.0,2024-11-12,IN_BOUND,Yes,No,Satisfied,80,No,No,Yes,1
JC0254,593696000000.0,2025-01-07,IN_BOUND,No,No,Satisfied,80,No,No,Yes,1
AQ7598,622558000000.0,2025-03-25,IN_BOUND,No,No,Satisfied,80,No,No,Yes,1
LN4202,690437000000.0,2025-12-19,IN_BOUND,Yes,No,Satisfied,80,No,No,Yes,1
BJ8706,688242000000.0,2025-11-21,IN_BOUND,No,No,Satisfied,80,No,No,Yes,1
GS2177,684557000000.0,2025-10-08,IN_BOUND,Yes,No,Satisfied,80,No,No,Yes,1
ZI2892,691673000000.0,2026-01-06,IN_BOUND,No,No,Satisfied,40,No,No,Yes,1
GH1042,682828000000.0,2025-09-15,IN_BOUND,No,No,Satisfied,80,No,No,Yes,1
XD7900,623174000000.0,2025-04-01,IN_BOUND,Yes,No,Satisfied,80,No,No,Yes,1
QB9738,689923000000.0,2025-12-12,IN_BOUND,No,No,Satisfied,80,No,No,Yes,1
MP8443,651743000000.0,2025-06-10,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
TL9638,594704000000.0,2025-01-24,IN_BOUND,No,No,Satisfied,20,No,No,Yes,1
OM5551,678205000000.0,2025-07-15,IN_BOUND,No,No,Neutral,60,No,No,Yes,1
KL5863,623304000000.0,2025-04-03,IN_BOUND,No,No,Satisfied,80,No,No,Yes,1
CH3344,591634000000.0,2024-12-03,IN_BOUND,No,No,Satisfied,80,No,No,Yes,1
MU5535,690131000000.0,2025-12-16,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
BZ0132,595926000000.0,2025-02-12,IN_BOUND,No,No,Neutral,60,No,No,Yes,1
TL7487,683926000000.0,2025-10-01,IN_BOUND,No,Yes,Satisfied,90,No,No,Yes,1
EM7429,590915000000.0,2024-11-21,IN_BOUND,No,No,Neutral,80,No,No,Yes,1
II7037,679806000000.0,2025-08-05,OUT_BOUND,No,No,Neutral,90,No,No,Yes,1
TC6317,687553000000.0,2025-11-14,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
PE9227,690131000000.0,2025-12-16,IN_BOUND,No,Yes,Dissatisfied,Not Discussed,No,No,Yes,1
BC3197,677576000000.0,2025-07-07,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
EZ3525,686970000000.0,2025-11-06,IN_BOUND,No,No,Neutral,60,No,No,Yes,1
FM5372,688888000000.0,2025-12-01,IN_BOUND,No,No,Dissatisfied,40,No,No,Yes,1
PZ4404,650977000000.0,2025-05-30,IN_BOUND,No,No,Neutral,80,No,No,Yes,1
OV7327,591514000000.0,2024-12-02,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
BR4254,592601000000.0,2024-12-18,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
GH6778,677795000000.0,2025-07-08,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
DN8105,677576000000.0,2025-07-07,OUT_BOUND,No,No,Satisfied,80,No,No,Yes,1
FF5723,591754000000.0,2024-12-04,OUT_BOUND,No,No,Dissatisfied,20,No,No,Yes,1
KO9963,652190000000.0,2025-06-16,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,Yes,1
QW0737,683925000000.0,2025-09-30,IN_BOUND,No,Yes,Dissatisfied,40,No,No,Yes,1
HA0032,689200000000.0,2025-12-05,IN_BOUND,No,Yes,Dissatisfied,20,No,No,Yes,1
VI2758,687352000000.0,2025-11-11,OUT_BOUND,No,No,Neutral,80,No,No,Yes,1
NF8121,591633000000.0,2024-12-03,IN_BOUND,No,No,Satisfied,80,No,No,Yes,1
DU8610,680753000000.0,2025-08-18,IN_BOUND,No,No,Dissatisfied,20,No,No,Yes,1
PG2303,687684000000.0,2025-11-17,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,Yes,1
EW1301,689201000000.0,2025-12-05,OUT_BOUND,Yes,No,Neutral,70,No,No,Yes,1
QE1168,594704000000.0,2025-01-23,IN_BOUND,Yes,Yes,Dissatisfied,20,Yes,No,Yes,1
QB7330,596362000000.0,2025-02-17,IN_BOUND,No,Yes,Dissatisfied,20,No,No,Yes,1
SO8851,622283000000.0,2025-03-20,IN_BOUND,Yes,No,Dissatisfied,80,No,No,Yes,1
RX6658,596627000000.0,2025-02-24,IN_BOUND,No,No,Dissatisfied,20,No,No,Yes,1
CG9408,678859000000.0,2025-07-23,IN_BOUND,Yes,Yes,Dissatisfied,20,No,No,Yes,1
JZ2670,626068000000.0,2025-05-15,IN_BOUND,No,No,Dissatisfied,80,No,No,Yes,1
WC4632,590914000000.0,2024-11-20,OUT_BOUND,No,No,Dissatisfied,40,No,No,Yes,1
JU3172,591235000000.0,2024-11-27,IN_BOUND,Yes,Yes,Dissatisfied,20,No,No,Yes,1
GT5347,687553000000.0,2025-11-13,OUT_BOUND,No,Yes,Dissatisfied,40,Yes,Yes,Yes,1
HM8293,591087000000.0,2024-11-25,IN_BOUND,No,No,Dissatisfied,20,Yes,No,Yes,1
TF9709,689718000000.0,2025-12-11,IN_BOUND,No,Yes,Dissatisfied,20,No,No,Yes,1
NQ8553,685631000000.0,2025-10-21,IN_BOUND,No,Yes,Dissatisfied,60,No,No,Yes,1
FW9706,650692000000.0,2025-05-27,IN_BOUND,No,No,Dissatisfied,40,Yes,No,Yes,1
JY1545,684557000000.0,2025-10-08,OUT_BOUND,No,Yes,Dissatisfied,20,No,No,Yes,1
ET3267,686119000000.0,2025-10-28,OUT_BOUND,No,Yes,Dissatisfied,40,Yes,No,Yes,1
EY9590,591142000000.0,2025-09-25,OUT_BOUND,No,No,Dissatisfied,60,No,No,Yes,1
UK6853,596191000000.0,2025-02-17,IN_BOUND,No,Yes,Dissatisfied,20,No,No,Yes,1
WI0298,592898000000.0,2024-12-23,IN_BOUND,No,Yes,Dissatisfied,20,No,No,Yes,1
NF7280,686662000000.0,2025-11-03,IN_BOUND,No,No,Dissatisfied,60,Yes,Yes,Yes,1
NI5234,590737000000.0,2024-11-19,IN_BOUND,No,Yes,Dissatisfied,40,Yes,Yes,Yes,1
EM7258,597237000000.0,2025-03-03,IN_BOUND,No,No,Dissatisfied,40,Yes,No,Yes,1
KW4236,686837000000.0,2025-11-06,OUT_BOUND,No,Yes,Dissatisfied,60,No,No,Yes,1
IE5666,679458000000.0,2025-08-01,IN_BOUND,No,No,Dissatisfied,60,Yes,No,Yes,1
SW1719,685774000000.0,2025-10-24,IN_BOUND,No,Yes,Dissatisfied,30,No,No,Yes,1
RK1312,591235000000.0,2024-11-26,IN_BOUND,No,No,Dissatisfied,20,Yes,Yes,Yes,1
KI5616,591514000000.0,2024-12-02,IN_BOUND,No,No,Dissatisfied,60,Yes,No,Yes,1
HW5635,595465000000.0,2025-02-04,IN_BOUND,No,Yes,Dissatisfied,30,No,No,Yes,1
GQ1025,565596000000.0,2024-10-30,IN_BOUND,No,Yes,Dissatisfied,20,No,No,Yes,1
ZG5360,591754000000.0,2024-12-05,IN_BOUND,No,No,Dissatisfied,20,No,No,Yes,1
CG9408,679014000000.0,2025-07-24,IN_BOUND,No,Yes,Dissatisfied,10,No,No,Yes,1
WI0298,592294000000.0,2024-12-13,IN_BOUND,No,No,Dissatisfied,40,No,No,Yes,1
OG1238,677897000000.0,2025-07-09,IN_BOUND,No,No,Dissatisfied,50,No,No,Yes,1
NR4275,565433000000.0,2024-10-28,IN_BOUND,No,Yes,Dissatisfied,30,Yes,No,Yes,1
IU6671,687352000000.0,2025-11-11,IN_BOUND,No,No,Dissatisfied,40,No,No,Yes,1
OD5425,591754000000.0,2024-12-04,IN_BOUND,No,No,Neutral,70,No,No,Yes,1
PY0860,565228000000.0,2024-10-24,OUT_BOUND,No,No,Neutral,40,No,No,Yes,1
ID7812,676349000000.0,2025-06-17,OUT_BOUND,No,Yes,Neutral,55,No,No,Yes,1
XJ3555,678204000000.0,2025-07-15,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,Yes,1
NS2392,689553000000.0,2025-12-09,IN_BOUND,No,No,Neutral,80,No,No,Yes,1
ZX5619,589929000000.0,2024-11-06,IN_BOUND,No,No,Neutral,70,No,No,Yes,1
EH1934,689354000000.0,2025-12-08,OUT_BOUND,No,No,Neutral,70,No,No,Yes,1
OP4173,680462000000.0,2025-08-13,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,Yes,1
PH6110,688889000000.0,2025-12-01,IN_BOUND,No,No,Neutral,70,No,No,Yes,1
RR6805,689199000000.0,2025-12-04,IN_BOUND,No,No,Neutral,80,No,No,Yes,1
YY2871,594833000000.0,2025-01-27,IN_BOUND,No,No,Neutral,80,No,No,Yes,1
CR0931,688889000000.0,2025-12-01,OUT_BOUND,Yes,No,Neutral,60,Yes,Yes,Yes,1
UP0053,677576000000.0,2025-07-07,IN_BOUND,No,No,Neutral,60,No,No,Yes,1
WS1848,624067000000.0,2025-04-15,IN_BOUND,No,No,Neutral,80,No,No,Yes,1
CA2631,690131000000.0,2025-12-16,OUT_BOUND,No,No,Neutral,40,Yes,No,Yes,1
RW2340,591917000000.0,2024-12-09,IN_BOUND,No,No,Neutral,60,Yes,No,Yes,1
CW3422,590915000000.0,2024-11-21,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
KE4508,622558000000.0,2025-03-24,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
NS1206,689717000000.0,2025-12-10,IN_BOUND,No,No,Satisfied,90,Yes,No,Yes,1
ZZ9150,652049000000.0,2025-06-13,IN_BOUND,No,No,Satisfied,90,Yes,No,Yes,1
EI7821,650976000000.0,2025-05-29,OUT_BOUND,No,Yes,Satisfied,80,No,No,Yes,1
LZ2966,650692000000.0,2025-05-27,IN_BOUND,No,No,Satisfied,80,Yes,No,Yes,1
GI9923,591755000000.0,2024-12-06,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
JF3824,683926000000.0,2025-10-01,IN_BOUND,No,No,Satisfied,80,No,No,Yes,1
YE1109,538683000000.0,2024-09-13,IN_BOUND,No,No,Satisfied,80,No,No,Yes,1
GL9613,690298000000.0,2025-12-18,IN_BOUND,No,Yes,Dissatisfied,50,No,No,Yes,1
QU3529,650830000000.0,2025-05-28,OUT_BOUND,No,No,Satisfied,80,No,No,Yes,1
IQ5686,690297000000.0,2025-12-17,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
WD4614,687862000000.0,2025-11-18,IN_BOUND,No,No,Dissatisfied,20,No,No,Yes,1
IA8143,676648000000.0,2025-06-23,IN_BOUND,No,No,Neutral,80,No,No,Yes,1
BC4942,623633000000.0,2025-04-08,IN_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
KT7362,679956000000.0,2025-08-07,IN_BOUND,No,Yes,Satisfied,90,No,No,Yes,1
HM7832,594136000000.0,2025-01-14,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
FN7585,687352000000.0,2025-11-11,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
CP1060,685632000000.0,2025-10-22,IN_BOUND,No,No,Dissatisfied,60,No,No,Yes,1
RS3715,591235000000.0,2024-11-27,IN_BOUND,No,Yes,Neutral,80,No,No,Yes,1
CF8601,626245000000.0,2025-05-19,OUT_BOUND,No,No,Neutral,80,No,No,Yes,1
SG7354,681583000000.0,2025-08-29,IN_BOUND,No,No,Neutral,80,No,No,Yes,1
IB4676,684086000000.0,2025-10-03,IN_BOUND,Yes,Yes,Neutral,85,No,No,Yes,1
WD4614,687862000000.0,2025-11-18,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
RF9231,688424000000.0,2025-11-25,IN_BOUND,Yes,No,Dissatisfied,20,Yes,No,Yes,1
UM1201,625851000000.0,2025-05-12,IN_BOUND,No,No,Neutral,60,Yes,No,Yes,1
TZ7190,684557000000.0,2025-10-08,OUT_BOUND,No,Yes,Dissatisfied,60,No,No,Yes,1
QN9677,681421000000.0,2025-08-26,IN_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
EY0305,677090000000.0,2025-06-30,IN_BOUND,No,No,Dissatisfied,20,No,No,Yes,1
TS5904,679014000000.0,2025-07-24,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
SS7093,592747000000.0,2024-12-19,OUT_BOUND,No,Yes,Dissatisfied,Not Discussed,No,No,Yes,1
RP0743,689200000000.0,2025-12-05,OUT_BOUND,No,Yes,Dissatisfied,Not Discussed,No,No,Yes,1
OV6083,687353000000.0,2025-11-12,IN_BOUND,No,Yes,Dissatisfied,40,No,No,Yes,1
XF8241,623476000000.0,2025-04-07,IN_BOUND,No,Yes,Dissatisfied,20,No,No,Yes,1
GW7164,596779000000.0,2025-02-25,IN_BOUND,No,Yes,Dissatisfied,20,No,No,Yes,1
WI0298,593975000000.0,2025-01-13,IN_BOUND,No,Yes,Dissatisfied,60,No,No,Yes,1
VN7102,689717000000.0,2025-12-10,IN_BOUND,No,Yes,Dissatisfied,60,No,No,Yes,1
IE5666,682151000000.0,2025-09-08,IN_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
MD4210,592601000000.0,2024-12-18,IN_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
EX2064,564895000000.0,2024-10-21,OUT_BOUND,No,Yes,Dissatisfied,Not Discussed,No,No,Yes,1
FK9763,684418000000.0,2025-10-08,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
CQ0597,594293000000.0,2025-01-16,IN_BOUND,No,No,Dissatisfied,80,Yes,Yes,Yes,1
HS4944,686277000000.0,2025-10-29,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
HR7216,684558000000.0,2025-10-09,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
JJ4313,684085000000.0,2025-10-02,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
UD9238,677235000000.0,2025-07-02,OUT_BOUND,No,No,Satisfied,80,No,No,Yes,1
DQ2005,688015000000.0,2025-11-20,IN_BOUND,No,No,Satisfied,80,No,No,Yes,1
ER3270,621700000000.0,2025-03-11,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
SK1758,590250000000.0,2024-11-12,IN_BOUND,No,Yes,Neutral,80,No,No,Yes,1
CM4751,680586000000.0,2025-08-15,IN_BOUND,No,No,Satisfied,20,Yes,Yes,Yes,1
CP3074,595465000000.0,2025-02-03,OUT_BOUND,No,No,Neutral,70,No,No,Yes,1
KO2928,680317000000.0,2025-08-12,IN_BOUND,No,No,Neutral,Not Discussed,No,No,Yes,1
XF8241,595746000000.0,2025-02-10,IN_BOUND,No,No,Neutral,70,No,No,Yes,1
LW9075,623026000000.0,2025-03-31,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
IA6112,593391000000.0,2025-01-03,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
QC1960,626392000000.0,2025-05-20,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,Yes,1
LA0697,681421000000.0,2025-08-27,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,Yes,1
AF7227,622409000000.0,2025-03-21,OUT_BOUND,No,No,Neutral,80,No,No,Yes,1
GK4939,651878000000.0,2025-06-12,IN_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
EY0305,651566000000.0,2025-06-09,IN_BOUND,No,No,Satisfied,100,No,No,Yes,1
RZ9339,685240000000.0,2025-10-16,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
ML0546,621541000000.0,2025-03-07,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
OX7881,592293000000.0,2024-12-12,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,Yes,1
MF8029,626393000000.0,2025-05-21,IN_BOUND,No,No,Neutral,60,Yes,No,Yes,1
ZM0515,593975000000.0,2025-01-13,IN_BOUND,No,No,Satisfied,80,No,No,Yes,1
KQ9602,688889000000.0,2025-12-01,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
GM3861,689553000000.0,2025-12-09,OUT_BOUND,No,No,Satisfied,Not Discussed,No,No,Yes,1
LB7488,596041000000.0,2025-02-12,IN_BOUND,No,No,Neutral,70,No,No,Yes,1
GB9655,626245000000.0,2025-05-19,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,Yes,1
VZ7278,594580000000.0,2025-01-21,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
KC8187,684210000000.0,2025-10-06,IN_BOUND,No,No,Dissatisfied,20,Yes,Yes,Yes,1
PE4249,689552000000.0,2025-12-09,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
CE8589,596362000000.0,2025-02-18,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
IE6856,592294000000.0,2024-12-13,IN_BOUND,No,No,Neutral,50,No,No,Yes,1
QC3801,565228000000.0,2024-10-25,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
IJ5235,624978000000.0,2025-04-29,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
OE0542,686118000000.0,2025-10-28,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
GT6517,589779000000.0,2024-11-04,IN_BOUND,No,No,Satisfied,80,No,No,Yes,1
ZY1661,621949000000.0,2025-03-14,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
KV6961,690437000000.0,2025-12-19,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
LR3370,676468000000.0,2025-06-19,IN_BOUND,No,No,Neutral,60,Yes,No,Yes,1
IH2885,593696000000.0,2025-01-07,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,Yes,1
FT0988,589929000000.0,2024-11-06,OUT_BOUND,No,No,Dissatisfied,60,Yes,Yes,Yes,1
AH8020,193615000000.0,2025-09-24,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
SQ2323,691479000000.0,2026-01-05,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,Yes,1
AA6838,688242000000.0,2025-11-21,IN_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
SO8851,686970000000.0,2025-11-06,IN_BOUND,No,No,Satisfied,80,No,No,Yes,1
AD7151,691673000000.0,2026-01-06,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,Yes,1
JR1516,594990000000.0,2025-01-28,IN_BOUND,No,No,Satisfied,80,No,No,Yes,1
XV0892,690130000000.0,2025-12-15,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
FH5090,685631000000.0,2025-10-21,IN_BOUND,No,No,Satisfied,80,No,No,Yes,1
CJ8036,623304000000.0,2025-04-03,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
CJ8036,650532000000.0,2025-05-22,OUT_BOUND,No,No,Neutral,80,Yes,No,Yes,1
OJ4198,686481000000.0,2025-10-31,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
IM8811,652190000000.0,2025-06-16,IN_BOUND,No,No,Neutral,70,Yes,No,Yes,1
QW9796,676349000000.0,2025-06-18,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
KK0806,596041000000.0,2025-02-13,IN_BOUND,No,No,Satisfied,90,Yes,Yes,Yes,1
KD7122,677411000000.0,2025-07-03,IN_BOUND,Yes,No,Neutral,70,Yes,No,Yes,1
BD0949,595604000000.0,2025-02-07,IN_BOUND,No,Yes,Dissatisfied,40,Yes,No,Yes,1
DF8881,596363000000.0,2025-02-18,IN_BOUND,No,Yes,Dissatisfied,40,Yes,No,Yes,1
DF8881,596486000000.0,2025-02-20,IN_BOUND,No,Yes,Dissatisfied,40,Yes,No,Yes,1
SU7153,689200000000.0,2025-12-04,IN_BOUND,No,Yes,Dissatisfied,20,Yes,No,Yes,1
PJ9567,622846000000.0,2025-03-28,IN_BOUND,No,Yes,Dissatisfied,20,Yes,No,Yes,1
JJ9148,624670000000.0,2025-04-24,IN_BOUND,Yes,No,Dissatisfied,20,No,No,Yes,1
YG1892,688587000000.0,2025-11-27,IN_BOUND,Yes,Yes,Dissatisfied,20,Yes,No,Yes,1
DU7521,596485000000.0,2025-02-19,IN_BOUND,No,No,Dissatisfied,20,Yes,No,Yes,1
PR5764,596925000000.0,2025-02-27,IN_BOUND,Yes,Yes,Dissatisfied,20,No,No,Yes,1
LH5170,593697000000.0,2025-01-08,IN_BOUND,No,No,Dissatisfied,40,No,No,Yes,1
VU9662,650533000000.0,2025-05-23,IN_BOUND,No,Yes,Dissatisfied,20,Yes,No,Yes,1
HH4314,689717000000.0,2025-12-10,IN_BOUND,No,No,Dissatisfied,40,No,No,Yes,1
ND9072,687553000000.0,2025-11-14,IN_BOUND,No,Yes,Dissatisfied,40,Yes,Yes,Yes,1
WP1610,681068000000.0,2025-08-22,IN_BOUND,No,Yes,Dissatisfied,20,Yes,No,Yes,1
EW5509,688586000000.0,2025-11-26,IN_BOUND,No,Yes,Dissatisfied,40,Yes,No,Yes,1
HK3578,689718000000.0,2025-12-11,IN_BOUND,No,No,Dissatisfied,60,No,No,Yes,1
UH3517,565433000000.0,2024-10-28,IN_BOUND,Yes,No,Dissatisfied,40,Yes,No,Yes,1
ZM5403,689553000000.0,2025-12-09,IN_BOUND,Yes,Yes,Dissatisfied,40,Yes,No,Yes,1
OF0386,564895000000.0,2024-10-21,IN_BOUND,Yes,Yes,Dissatisfied,20,Yes,No,Yes,1
KP3779,565229000000.0,2024-10-25,IN_BOUND,Yes,No,Dissatisfied,20,No,No,Yes,1
ZL3369,685773000000.0,2025-10-22,IN_BOUND,Yes,No,Dissatisfied,20,No,No,Yes,1
UX3107,593975000000.0,2025-01-13,IN_BOUND,No,Yes,Dissatisfied,20,Yes,No,Yes,1
DJ1854,591236000000.0,2024-11-27,IN_BOUND,No,Yes,Dissatisfied,40,No,No,Yes,1
QN7308,689553000000.0,2025-12-09,IN_BOUND,No,No,Dissatisfied,40,Yes,No,Yes,1
GU1796,686836000000.0,2025-11-04,IN_BOUND,No,No,Dissatisfied,40,Yes,No,Yes,1
VS5879,594581000000.0,2025-01-22,IN_BOUND,No,Yes,Dissatisfied,40,No,No,Yes,1
PK0240,593975000000.0,2025-01-13,IN_BOUND,No,Yes,Dissatisfied,40,Yes,No,Yes,1
HA1739,688423000000.0,2025-11-24,IN_BOUND,No,No,Dissatisfied,60,No,No,Yes,1
DA6155,687352000000.0,2025-11-11,IN_BOUND,No,Yes,Dissatisfied,40,Yes,Yes,Yes,1
LE9842,687862000000.0,2025-11-19,IN_BOUND,Yes,No,Dissatisfied,60,No,No,Yes,1
GA5356,624068000000.0,2025-04-16,IN_BOUND,No,Yes,Dissatisfied,60,No,No,Yes,1
VU4080,593696000000.0,2025-01-07,OUT_BOUND,No,Yes,Dissatisfied,80,Yes,No,Yes,1
NM1849,590737000000.0,2024-11-19,IN_BOUND,No,Yes,Dissatisfied,40,Yes,No,Yes,1
NT6026,687352000000.0,2025-11-11,IN_BOUND,No,Yes,Dissatisfied,80,No,No,Yes,1
DF8881,596485000000.0,2025-02-19,IN_BOUND,No,Yes,Dissatisfied,60,No,No,Yes,1
PO0447,622725000000.0,2025-03-26,OUT_BOUND,No,Yes,Dissatisfied,40,Yes,No,Yes,1
NX8699,591234000000.0,2024-11-26,IN_BOUND,No,Yes,Dissatisfied,40,No,No,Yes,1
VU9662,650533000000.0,2025-05-23,IN_BOUND,No,Yes,Dissatisfied,60,No,No,Yes,1
VU9662,681247000000.0,2025-08-26,IN_BOUND,No,No,Dissatisfied,80,No,No,Yes,1
WS1848,596042000000.0,2025-02-14,IN_BOUND,No,Yes,Dissatisfied,40,No,No,Yes,1
FF3324,689552000000.0,2025-12-09,IN_BOUND,Yes,No,Dissatisfied,80,No,No,Yes,1
UX3107,594136000000.0,2025-01-14,IN_BOUND,Yes,Yes,Dissatisfied,80,Yes,No,Yes,1
VF6714,679323000000.0,2025-07-29,IN_BOUND,No,No,Dissatisfied,60,No,No,Yes,1
FT7734,594990000000.0,2025-01-28,IN_BOUND,No,Yes,Dissatisfied,20,No,No,Yes,1
XM5508,689199000000.0,2025-12-04,IN_BOUND,Yes,Yes,Dissatisfied,20,Yes,No,Yes,1
VG8059,621949000000.0,2025-03-14,IN_BOUND,No,Yes,Dissatisfied,20,Yes,Yes,Yes,1
FM0070,686278000000.0,2025-10-30,IN_BOUND,Yes,Yes,Dissatisfied,40,Yes,No,Yes,1
HK3578,591917000000.0,2024-12-09,IN_BOUND,No,No,Dissatisfied,60,Yes,No,Yes,1
PM0315,682976000000.0,2025-09-17,IN_BOUND,No,No,Dissatisfied,60,Yes,No,Yes,1
PM0315,682976000000.0,2025-09-18,IN_BOUND,No,Yes,Dissatisfied,40,No,No,Yes,1
TW6321,680462000000.0,2025-08-13,IN_BOUND,No,No,Dissatisfied,60,Yes,No,Yes,1
IZ4276,565433000000.0,2024-10-28,IN_BOUND,No,No,Dissatisfied,60,Yes,No,Yes,1
ZX5619,685125000000.0,2025-10-15,IN_BOUND,No,Yes,Dissatisfied,60,Yes,No,Yes,1
RZ5197,684954000000.0,2025-10-13,IN_BOUND,No,No,Dissatisfied,60,No,No,Yes,1
IF9833,685241000000.0,2025-10-17,IN_BOUND,No,Yes,Dissatisfied,60,Yes,No,Yes,1
LG9290,594833000000.0,2025-01-27,IN_BOUND,No,Yes,Dissatisfied,60,Yes,No,Yes,1
VU9662,650977000000.0,2025-05-30,IN_BOUND,No,Yes,Dissatisfied,40,Yes,No,Yes,1
QZ5268,622558000000.0,2025-03-25,IN_BOUND,No,Yes,Dissatisfied,60,No,No,Yes,1
VO9201,680462000000.0,2025-08-13,IN_BOUND,No,Yes,Dissatisfied,60,Yes,No,Yes,1
PB1341,651878000000.0,2025-06-12,IN_BOUND,No,No,Dissatisfied,40,Yes,No,Yes,1
CF2891,590915000000.0,2024-11-21,IN_BOUND,No,Yes,Dissatisfied,70,Yes,No,Yes,1
IV0862,651743000000.0,2025-06-10,IN_BOUND,No,No,Dissatisfied,40,Yes,No,Yes,1
FS5146,651743000000.0,2025-06-10,IN_BOUND,No,No,Dissatisfied,50,Yes,No,Yes,1
GU0456,691673000000.0,2026-01-06,IN_BOUND,No,Yes,Dissatisfied,0,Yes,No,Yes,1
MQ5625,590439000000.0,2024-11-13,IN_BOUND,No,Yes,Dissatisfied,40,No,No,Yes,1
VO9201,680317000000.0,2025-08-12,IN_BOUND,No,Yes,Dissatisfied,30,No,No,Yes,1
PJ8328,690633000000.0,2025-12-23,IN_BOUND,No,No,Satisfied,80,No,No,Yes,1
BH4446,688423000000.0,2025-11-24,IN_BOUND,No,Yes,Neutral,80,No,No,Yes,1
EH0164,565090000000.0,2024-10-22,IN_BOUND,No,No,Neutral,80,No,No,Yes,1
GS6096,594136000000.0,2025-01-14,IN_BOUND,No,No,Neutral,80,No,No,Yes,1
