Co_Ref,crm_customer_payment_intention,crm_contractor_suggested_leave,crm_customer_complained,crm_negative_customer_experience,crm_dissatisfaction_with_support,crm_agent_chase_count,crm_financial_hardship_mentioned,crm_delays_in_accreditation,crm_membership_overdue
VL4179,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
HF6678,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
HF7655,Not Discussed,Not Discussed,Yes,Yes,Yes,2,No,Not Discussed,Yes
FK4827,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,Yes
OR7864,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,Yes
CL1933,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
EB3129,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
KA4740,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
RX5348,Not Discussed,Not Discussed,Yes,Yes,Yes,2,No,Not Discussed,No
QJ0398,Not Discussed,Not Discussed,Yes,Yes,Yes,2,Yes,Not Discussed,No
JY1545,Not Discussed,Not Discussed,Yes,Yes,Yes,0,Yes,Not Discussed,No
CS1136,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
DM4960,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
NO2422,Not Discussed,Not Discussed,Yes,Yes,Yes,2,No,Not Discussed,No
XG1118,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
EC3656,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,Yes
IA7850,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,Yes
WZ4219,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,Yes
GV6374,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,Yes
MD2038,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,Yes
WC6932,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,Yes
RN4494,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,Yes
DV3874,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,Yes
UO0321,Not Discussed,Not Discussed,Yes,Yes,Yes,2,No,Not Discussed,Yes
ZA8826,Not Discussed,Not Discussed,Yes,Yes,Yes,2,No,Not Discussed,Yes
DY2999,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,Yes
OF8861,Not Discussed,Not Discussed,Yes,Yes,Yes,2,No,Not Discussed,Yes
ZU2507,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,Yes
YK0850,Not Discussed,Not Discussed,Yes,Yes,Yes,1,Yes,Not Discussed,Yes
AW1115,Not Discussed,Not Discussed,Yes,Yes,Yes,1,Yes,Not Discussed,Yes
XX0769,Not Discussed,Not Discussed,Yes,Yes,Yes,0,Yes,Not Discussed,Yes
AJ3172,Not Discussed,Not Discussed,Yes,Yes,Yes,2,Yes,Not Discussed,Yes
AU5650,Not Discussed,Not Discussed,Yes,Yes,Yes,0,Yes,Not Discussed,Yes
CZ2933,Not Discussed,Not Discussed,Yes,Yes,Yes,0,Yes,Not Discussed,Yes
IQ1678,Not Discussed,Not Discussed,Yes,Yes,Yes,0,Yes,Not Discussed,Yes
SJ2517,Not Discussed,Not Discussed,Yes,Yes,Yes,2,No,Not Discussed,Yes
YX3142,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,Yes
CK1373,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,Yes
EA1066,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,Yes
ZE9372,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,Yes
TJ8518,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
FY2534,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
HZ3195,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
ML2247,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
XT8951,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
EX8393,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
WE8513,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
AV6630,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
OQ1534,Not Discussed,Not Discussed,Yes,Yes,Yes,0,Yes,Not Discussed,No
TW6314,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,No
HF2333,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
WL8950,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
PW1778,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
IG0661,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
QL6004,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
ZW3174,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
TX6555,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
BR5192,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
AE2874,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
BT5742,Not Discussed,Not Discussed,Yes,Yes,Yes,0,Yes,Not Discussed,No
YT0054,Not Discussed,Not Discussed,Yes,Yes,Yes,0,Yes,Not Discussed,No
GZ0928,Not Discussed,Not Discussed,Yes,Yes,Yes,0,Yes,Not Discussed,No
TM8623,Not Discussed,Not Discussed,Yes,Yes,Yes,4,Yes,Not Discussed,No
GR6721,Not Discussed,Not Discussed,Yes,Yes,Yes,1,Yes,Not Discussed,No
JE6165,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
YF0756,Not Discussed,Not Discussed,Yes,Yes,Yes,2,No,Not Discussed,No
GF8968,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
CU7386,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
SH0037,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
NY7120,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
UT0969,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
PY7037,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
EF6170,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
GQ0128,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
EN6561,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
HF1883,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
PV1780,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,No
UT0810,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,No
YQ1491,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
GQ1690,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
ZH4642,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,No
AP4283,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
BB9418,Not Discussed,Not Discussed,Yes,Yes,Yes,2,No,Not Discussed,No
FY6790,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
NU9106,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
UC2351,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,No
ZU7128,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
CP1098,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
DH5532,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
YP3238,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
NK8896,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
BR5065,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
FS9908,Not Discussed,Not Discussed,Yes,Yes,Yes,2,No,Not Discussed,No
IE7727,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,No
PI2917,Not Discussed,Not Discussed,Yes,Yes,Yes,4,No,Not Discussed,No
NU5326,Not Discussed,Not Discussed,Yes,Yes,Yes,2,No,Not Discussed,No
AD1657,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,No
HE2534,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,No
IM1324,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,No
RZ4402,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
DN7990,Not Discussed,Not Discussed,Yes,Yes,Yes,2,No,Not Discussed,No
MH1440,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,No
YC4159,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
SD7786,Not Discussed,Not Discussed,Yes,Yes,Yes,2,No,Not Discussed,No
UG8498,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,No
GB8304,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
WC1891,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,No
XV8819,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
NG2317,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
EQ9550,Not Discussed,Not Discussed,Yes,Yes,Yes,2,No,Not Discussed,Yes
JA2425,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,Yes
LY3167,Not Discussed,Not Discussed,Yes,Yes,Yes,2,No,Not Discussed,Yes
CJ6820,Not Discussed,Not Discussed,Yes,Yes,Yes,2,No,Not Discussed,Yes
IG4221,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,Yes
ME8032,Not Discussed,Not Discussed,Yes,Yes,Yes,4,No,Not Discussed,Yes
HB0388,Not Discussed,Not Discussed,Yes,Yes,Yes,1,Yes,Not Discussed,Yes
XD9778,Not Discussed,Not Discussed,Yes,Yes,Yes,1,Yes,Not Discussed,No
HQ3753,Not Discussed,Not Discussed,Yes,Yes,Yes,0,Yes,Not Discussed,No
TL1226,Not Discussed,Not Discussed,Yes,Yes,Yes,1,Yes,Not Discussed,No
JM8979,Not Discussed,Not Discussed,Yes,Yes,Yes,2,Yes,Not Discussed,No
YI1226,Not Discussed,Not Discussed,Yes,Yes,Yes,1,Yes,Not Discussed,No
IJ0190,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,No
ND5617,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,No
RQ1100,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
WY8479,Not Discussed,Not Discussed,Yes,Yes,Yes,0,Yes,Not Discussed,No
PX3804,Not Discussed,Not Discussed,Yes,Yes,Yes,2,Yes,Not Discussed,No
DF6341,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
LU0643,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
LG3733,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
VF3299,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
PJ4515,Not Discussed,Not Discussed,Yes,Yes,Yes,3,No,Not Discussed,No
YQ5368,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
BE9211,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
UR4359,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
ED0207,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
MJ3347,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,No
JY6235,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,No
AM2413,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,No
JA9783,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
MQ9088,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,No
GF7658,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
IL1869,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
QB8604,Not Discussed,Not Discussed,Yes,Yes,Yes,0,Yes,Not Discussed,No
FX9142,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
BP5009,Not Discussed,Not Discussed,Yes,Yes,Yes,0,Yes,Not Discussed,No
HX1632,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
LA2551,Not Discussed,Not Discussed,Yes,Yes,Yes,1,Yes,Not Discussed,Yes
YQ6205,Not Discussed,Not Discussed,Yes,Yes,Yes,0,Yes,Not Discussed,Yes
WI3019,Not Discussed,Not Discussed,Yes,Yes,Yes,0,Yes,Not Discussed,Yes
EA7606,Not Discussed,Not Discussed,Yes,Yes,Yes,1,Yes,Not Discussed,Yes
DW8686,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,Yes
LF5625,Not Discussed,Not Discussed,Yes,Yes,Yes,2,No,Not Discussed,Yes
KG1388,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,No
XO4544,Not Discussed,Not Discussed,Yes,Yes,Yes,2,No,Not Discussed,No
XT9586,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,Yes
HU7069,Not Discussed,Not Discussed,Yes,Yes,Yes,2,No,Not Discussed,No
UB1019,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,No
KU7681,Not Discussed,Not Discussed,Yes,Yes,Yes,0,Yes,Not Discussed,Yes
VP7519,Not Discussed,Not Discussed,Yes,Yes,Yes,2,Yes,Not Discussed,Yes
HS9166,Not Discussed,Not Discussed,Yes,Yes,Yes,1,Yes,Not Discussed,No
MV4316,Not Discussed,Not Discussed,Yes,Yes,Yes,3,Yes,Not Discussed,Yes
YX4000,Not Discussed,Not Discussed,Yes,Yes,Yes,2,Yes,Not Discussed,No
XW5798,Not Discussed,Not Discussed,Yes,Yes,Yes,2,No,Not Discussed,No
YZ8434,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,Yes
HE2270,Not Discussed,Not Discussed,Yes,Yes,Yes,1,No,Not Discussed,Yes
NT1616,Not Discussed,Not Discussed,Yes,Yes,Yes,0,No,Not Discussed,Yes
LP9154,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,Yes
QY5708,Not Discussed,Not Discussed,No,Yes,Yes,3,No,Not Discussed,Yes
YW2551,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
GD3705,Not Discussed,Not Discussed,No,Yes,Yes,0,Yes,Not Discussed,No
XW2239,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
PP7619,Not Discussed,Not Discussed,No,Yes,Yes,2,No,Not Discussed,No
LJ6287,Not Discussed,Not Discussed,No,Yes,No,0,Yes,Not Discussed,No
UZ0352,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
SW6903,Not Discussed,Not Discussed,No,Yes,No,1,No,Not Discussed,No
GN8062,Not Discussed,Not Discussed,No,Yes,No,2,No,Not Discussed,No
TR9341,Not Discussed,Not Discussed,No,Yes,No,1,No,Not Discussed,No
GM1825,Not Discussed,Not Discussed,No,Yes,No,1,No,Not Discussed,Yes
CF4444,Not Discussed,Not Discussed,No,Yes,No,1,Yes,Not Discussed,Yes
RE5691,Not Discussed,Not Discussed,No,Yes,No,2,No,Not Discussed,Yes
II6880,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,Yes
BK5147,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,Yes
RQ0302,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,Yes
ZB6269,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,Yes
GI0717,Not Discussed,Not Discussed,No,Yes,No,2,No,Not Discussed,Yes
UC6919,Not Discussed,Not Discussed,No,Yes,No,2,No,Not Discussed,Yes
VW5332,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,Yes
DK8336,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
HK1188,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
DB4204,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
JO3420,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
GF5081,Not Discussed,Not Discussed,No,Yes,No,2,No,Not Discussed,No
XI7801,Not Discussed,Not Discussed,No,Yes,No,1,Yes,Not Discussed,No
KW1595,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
TD5369,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
HU3599,Not Discussed,Not Discussed,No,Yes,No,1,No,Not Discussed,No
PM0609,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
PT6568,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
AG4971,Not Discussed,Not Discussed,No,Yes,No,1,No,Not Discussed,No
CP6040,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
UK5676,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
WW1137,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
DR4856,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
ZP5483,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
SY4595,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
VJ2046,Not Discussed,Not Discussed,No,Yes,No,0,Yes,Not Discussed,No
BO4719,Not Discussed,Not Discussed,No,Yes,No,0,Yes,Not Discussed,Yes
GR9902,Not Discussed,Not Discussed,No,Yes,No,0,Yes,Not Discussed,Yes
WX8606,Not Discussed,Not Discussed,No,Yes,No,2,No,Not Discussed,No
YE8321,Not Discussed,Not Discussed,No,Yes,No,2,No,Not Discussed,No
HV0650,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
EA5837,Not Discussed,Not Discussed,No,Yes,No,2,No,Not Discussed,No
QZ9144,Not Discussed,Not Discussed,No,Yes,No,1,No,Not Discussed,No
TF9406,Not Discussed,Not Discussed,No,Yes,No,2,No,Not Discussed,No
SB0959,Not Discussed,Not Discussed,No,Yes,No,2,No,Not Discussed,Yes
BR6387,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,Yes
DJ3890,Not Discussed,Not Discussed,No,Yes,No,1,No,Not Discussed,Yes
SE1182,Not Discussed,Not Discussed,No,Yes,No,1,No,Not Discussed,Yes
XT7872,Not Discussed,Not Discussed,No,Yes,No,2,No,Not Discussed,Yes
GX7864,Not Discussed,Not Discussed,No,Yes,No,1,No,Not Discussed,Yes
IA2002,Not Discussed,Not Discussed,No,Yes,No,2,No,Not Discussed,Yes
WV4945,Not Discussed,Not Discussed,No,Yes,No,2,No,Not Discussed,Yes
HT8709,Not Discussed,Not Discussed,No,Yes,No,2,No,Not Discussed,Yes
QY5109,Not Discussed,Not Discussed,No,Yes,No,2,No,Not Discussed,Yes
NZ8789,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
PJ6504,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
HB0469,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
QK5927,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
JB7670,Not Discussed,Not Discussed,No,Yes,No,2,No,Not Discussed,No
VG1011,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
TA8584,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,No
UX4895,Not Discussed,Not Discussed,No,Yes,No,5,No,Not Discussed,No
IK7255,Not Discussed,Not Discussed,No,Yes,No,1,Yes,Not Discussed,No
RQ1258,Not Discussed,Not Discussed,No,Yes,No,1,Yes,Not Discussed,Yes
GF4307,Not Discussed,Not Discussed,No,Yes,No,0,No,Not Discussed,Not Discussed
EP4679,Not Discussed,Not Discussed,No,Yes,No,2,No,Not Discussed,Yes
AK8134,Not Discussed,Not Discussed,No,Yes,Yes,2,No,Not Discussed,Yes
YS2165,Not Discussed,Not Discussed,No,Yes,Yes,2,No,Not Discussed,Yes
WP4146,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,Yes
MJ6486,Not Discussed,Not Discussed,No,Yes,Yes,2,No,Not Discussed,No
NV6587,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
WZ3185,Not Discussed,Not Discussed,No,Yes,Yes,1,No,Not Discussed,No
OW6760,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
TH1157,Not Discussed,Not Discussed,No,Yes,Yes,1,No,Not Discussed,No
ZQ5825,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
EH1694,Not Discussed,Not Discussed,No,Yes,Yes,1,No,Not Discussed,No
LS6726,Not Discussed,Not Discussed,No,Yes,Yes,2,No,Not Discussed,No
LE2325,Not Discussed,Not Discussed,No,Yes,Yes,2,No,Not Discussed,No
BW9206,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
NQ8553,Not Discussed,Not Discussed,No,Yes,Yes,2,No,Not Discussed,No
XE4617,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
WZ5097,Not Discussed,Not Discussed,No,Yes,Yes,1,No,Not Discussed,No
OX9785,Not Discussed,Not Discussed,No,Yes,Yes,1,No,Not Discussed,No
RJ9490,Not Discussed,Not Discussed,No,Yes,Yes,0,Yes,Not Discussed,No
HG1185,Not Discussed,Not Discussed,No,Yes,Yes,1,No,Not Discussed,No
BT4221,Not Discussed,Not Discussed,No,Yes,Yes,0,Yes,Not Discussed,No
LJ5362,Not Discussed,Not Discussed,No,Yes,Yes,0,Yes,Not Discussed,No
IY2947,Not Discussed,Not Discussed,No,Yes,Yes,0,Yes,Not Discussed,No
XC5195,Not Discussed,Not Discussed,No,Yes,Yes,0,Yes,Not Discussed,No
FM6867,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
ZU5614,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
XF3909,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
ES8395,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
HS0775,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
LZ4812,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
JC3099,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
KX7992,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
BK3292,Not Discussed,Not Discussed,No,Yes,Yes,2,No,Not Discussed,No
EA8360,Not Discussed,Not Discussed,No,Yes,Yes,1,No,Not Discussed,No
JA3211,Not Discussed,Not Discussed,No,Yes,Yes,3,No,Not Discussed,No
PT1876,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
FN3504,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
QV1769,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
FT7372,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
KJ8874,Not Discussed,Not Discussed,No,Yes,Yes,1,Yes,Not Discussed,No
TM4741,Not Discussed,Not Discussed,No,Yes,Yes,3,No,Not Discussed,Yes
WF5715,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,Yes
LW2489,Not Discussed,Not Discussed,No,Yes,Yes,2,Yes,Not Discussed,Yes
DS9357,Not Discussed,Not Discussed,No,Yes,Yes,0,Yes,Not Discussed,Yes
LA3917,Not Discussed,Not Discussed,No,Yes,Yes,2,Yes,Not Discussed,Yes
BR1038,Not Discussed,Not Discussed,No,Yes,Yes,1,No,Not Discussed,Yes
HO6846,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,Yes
GS9509,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,Yes
GD1450,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,Yes
KR4418,Not Discussed,Not Discussed,No,Yes,Yes,1,No,Not Discussed,Yes
SC2214,Not Discussed,Not Discussed,No,Yes,Yes,2,No,Not Discussed,Yes
VD5765,Not Discussed,Not Discussed,No,Yes,Yes,1,No,Not Discussed,Yes
ZB2682,Not Discussed,Not Discussed,No,Yes,Yes,1,No,Not Discussed,Yes
DS6489,Not Discussed,Not Discussed,No,Yes,Yes,2,No,Not Discussed,Yes
KE1702,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,Yes
OZ2527,Not Discussed,Not Discussed,No,Yes,Yes,2,No,Not Discussed,Yes
BA9347,Not Discussed,Not Discussed,No,Yes,Yes,2,No,Not Discussed,Yes
DH1185,Not Discussed,Not Discussed,No,Yes,Yes,1,No,Not Discussed,Yes
HK0975,Not Discussed,Not Discussed,No,Yes,Yes,1,No,Not Discussed,Yes
QB0072,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,Yes
DI4675,Not Discussed,Not Discussed,No,Yes,Yes,2,No,Not Discussed,Yes
XB3034,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,Yes
IV7507,Not Discussed,Not Discussed,No,Yes,Yes,1,No,Not Discussed,Yes
ON8457,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,Yes
AV1895,Not Discussed,Not Discussed,No,Yes,Yes,1,No,Not Discussed,No
DI0823,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
HO5881,Not Discussed,Not Discussed,No,Yes,Yes,1,No,Not Discussed,No
TE8934,Not Discussed,Not Discussed,No,Yes,Yes,2,No,Not Discussed,No
IQ9008,Not Discussed,Not Discussed,No,Yes,Yes,1,No,Not Discussed,No
GM7800,Not Discussed,Not Discussed,No,Yes,Yes,1,No,Not Discussed,No
YG4840,Not Discussed,Not Discussed,No,Yes,Yes,1,No,Not Discussed,Yes
ZP3054,Not Discussed,Not Discussed,No,Yes,Yes,2,No,Not Discussed,Yes
HK7278,Not Discussed,Not Discussed,No,Yes,Yes,0,Yes,Not Discussed,No
ZL0064,Not Discussed,Not Discussed,No,Yes,Yes,2,No,Not Discussed,Yes
GR9401,Not Discussed,Not Discussed,No,Yes,Yes,0,No,Not Discussed,No
GW6985,Not Discussed,Not Discussed,No,Yes,Yes,1,No,Not Discussed,Yes
WH2291,Not Discussed,Not Discussed,No,Yes,Yes,3,Yes,Not Discussed,No
NM0021,Not Discussed,Not Discussed,No,Yes,Yes,2,Yes,Not Discussed,No
OB7417,Not Discussed,Not Discussed,No,Yes,Yes,2,Yes,Not Discussed,Yes
IK6628,Not Discussed,Not Discussed,No,Yes,Yes,1,Yes,Not Discussed,Yes
JD0454,Not Discussed,Not Discussed,No,Yes,Yes,1,Yes,Not Discussed,Yes
